osmid,x,y
177994364,73.2640666,54.9874182
177994366,73.2652604,54.9869408
178180441,73.3051161,54.9887335
178263728,73.3133123,54.9851691
178263729,73.3279808,54.9789147
178263731,73.3291593,54.9786638
178263732,73.3309278,54.9785129
178263734,73.3381348,54.9780182
178263735,73.3386134,54.9776054
210295700,73.3891487,54.9732835
210295706,73.4114844,54.9746921
210295707,73.4124539,54.9747287
210297067,73.3891699,54.9731449
210297070,73.411525,54.9745061
210301780,73.3833593,54.9407501
210301793,73.3803094,54.9817015
210301795,73.3801917,54.9826869
210307188,73.3872379,54.9821012
210307192,73.4100247,54.9834367
210321469,73.3441077,54.9677123
210321475,73.3459477,54.9646317
210321480,73.3478449,54.962098
210321482,73.348556,54.9619148
210321485,73.3500163,54.9606509
210321760,73.349446,54.9624586
210322839,73.3470023,54.9625881
210324890,73.3469794,54.9659524
210325906,73.3456449,54.9676952
210326483,73.3460017,54.9672122
210327201,73.3472915,54.9655156
210341782,73.3456367,54.9650878
210389669,73.4086001,54.9926796
210391493,73.4146909,54.9517139
210391496,73.4160267,54.9505169
210397056,73.4153931,54.9510446
210410701,73.4566267,54.9169382
241543346,73.3503444,54.9484927
241543348,73.3417022,54.9438836
241543349,73.3377666,54.9414532
241543353,73.3337008,54.9382452
241543359,73.3212612,54.939735
241543368,73.2720555,54.9521983
241543371,73.2683384,54.9641989
241544010,73.3433399,54.9429635
241544783,73.3329946,54.9325795
241544788,73.3384115,54.9402934
241546091,73.320848,54.9276881
241546096,73.3174265,54.9172434
241546097,73.3155155,54.9155897
241555686,73.3148181,54.94136
241555698,73.319671,54.9401901
241556051,73.3162717,54.9412368
241556201,73.3169314,54.940314
241556295,73.3154659,54.9408385
241556605,73.3187031,54.9405039
241556779,73.3158487,54.9371978
241556874,73.3168791,54.9361222
241556997,73.3151001,54.9365581
241556998,73.3141129,54.9364049
241557516,73.3138192,54.9364102
241557682,73.324942,54.9330565
241557947,73.3317769,54.9313369
241558943,73.3158301,54.9158918
241558945,73.3105445,54.9188664
241563255,73.3360316,54.9523057
241563256,73.3363766,54.9518558
241563258,73.3374653,54.9513137
241563531,73.33763,54.9515153
241563533,73.3366465,54.9520055
241564856,73.3166141,54.9567316
241568187,73.2676632,54.9873241
241568188,73.2674781,54.9886631
241568530,73.2655384,54.9891922
241568531,73.2640894,54.9886351
241573956,73.2797462,55.00097
241573959,73.2739539,54.9959971
241575084,73.3027909,55.018644
241578174,73.3162603,55.0637697
241578539,73.3181321,55.0615872
241585506,73.3720416,54.991074
241585584,73.3644596,54.9913339
241585739,73.3638357,54.9910554
241585907,73.3649272,54.9906179
241586090,73.3642954,54.9913343
241587035,73.3713807,54.9890541
241592496,73.423554,55.0621867
241592510,73.3776152,55.035192
241592515,73.3743045,55.0089509
241592519,73.3724488,54.9944782
241862913,73.3650077,55.0241573
241862914,73.3652576,55.0301184
241863142,73.3123329,55.0364826
241863220,73.3490762,55.0263501
241863230,73.322698,55.0336569
241863299,73.3844613,54.9838226
241863601,73.3867814,54.9842161
241863604,73.4096967,54.9855444
241863618,73.4745764,54.990964
242920864,73.398581,54.9605299
242920927,73.3948563,54.9639854
242920929,73.3948354,54.9642388
242920931,73.3944286,54.9643396
242920933,73.3940862,54.9641603
242920935,73.3942551,54.9639048
242921028,73.3953529,54.9641744
242921125,73.3937562,54.9639816
242921334,73.3789656,54.9936039
242921337,73.3766977,54.9939875
242921340,73.3647547,54.9947205
242921664,73.3836233,54.9850266
242921666,73.3851997,54.9819809
242921667,73.3874879,54.9708101
242921668,73.3885774,54.9633422
242921676,73.3858631,54.9622821
242922150,73.4010929,54.9651368
242922151,73.4014332,54.9646727
242922162,73.413302,54.9644525
242922163,73.4142126,54.9646542
242922904,73.4814879,54.9856825
242922928,73.4451861,54.9691044
242922941,73.4335504,54.9675826
242922947,73.413953,54.9663246
242924129,73.4950557,54.9390378
242924130,73.4949289,54.9402562
242924136,73.4923263,54.9476626
242924165,73.4769589,54.9914323
242924697,73.4310075,54.9947391
242924705,73.4385169,54.9966827
247148006,73.3224512,54.941983
247148007,73.3330502,54.9486652
247148011,73.3368726,54.9515557
247149261,73.3142251,54.9418808
259826161,73.2899623,54.9954456
288473100,73.4080282,55.0211727
288473104,73.4174848,55.0238634
288473124,73.4198667,55.0329491
305553632,73.3041717,54.973803
305553636,73.2780017,54.9874282
305553639,73.2786603,54.9878609
305553642,73.2706708,54.991811
305553643,73.2700674,54.9913669
312978481,73.3732189,55.0002429
312978501,73.3792845,54.9991676
312978503,73.3848434,54.9972088
312978539,73.386017,54.9967849
312978606,73.3852991,55.0006018
312978608,73.3843004,55.0009608
312978612,73.3780144,54.9979965
312978613,73.3768602,54.996862
312978671,73.385896,55.0011142
312978678,73.3919359,55.0061172
312978679,73.3925591,55.0066306
312978701,73.3918907,55.0069129
312978895,73.4015544,55.0041636
312978897,73.4046534,55.001458
312979119,73.4005235,55.0037813
312979211,73.4029023,55.004679
312979212,73.4091615,55.007004
312979259,73.40975,55.0033947
312979260,73.412245,55.0043413
312979380,73.3937143,55.005491
312979383,73.3995923,55.0034283
312979724,73.3298607,54.993719
312980655,73.3155547,54.9958359
312980657,73.3159185,54.9953882
312981395,73.2691713,54.9917859
312981497,73.2516566,54.9944403
312996073,73.4842511,54.9462928
345339958,73.3645143,54.9910952
345339974,73.3736629,54.9911864
345341303,73.3649455,54.9912089
345581421,73.334728,54.9842601
345582309,73.3238159,54.9806623
345582772,73.3389174,54.9782469
345583321,73.300363,54.99059
345586228,73.2875638,54.9938768
345587340,73.2772424,54.998881
345589652,73.2996894,54.9767214
345590856,73.3071238,54.9816021
345591120,73.3145172,54.9943125
345658084,73.3647923,54.9959148
345683330,73.3536164,54.991474
345683335,73.3601137,54.9939573
345683351,73.3647597,54.9948633
345683378,73.3348649,54.9841332
345683398,73.3538933,54.9917651
345683400,73.3596399,54.9943502
345733301,73.3411967,54.9726446
345733373,73.3062502,54.9895485
345733435,73.3168229,54.987569
345733492,73.3218876,54.9814902
345733496,73.3261661,54.9830431
345733523,73.3277782,54.9820648
345733620,73.3197,54.9843776
345733679,73.3185008,54.986753
345733865,73.3226458,54.9876662
345733923,73.3027022,55.0183093
345733969,73.3041266,55.0199703
346903682,73.272334,54.9932731
346903687,73.2783498,54.9977193
346903692,73.2796341,54.9977869
346904857,73.2710094,54.9934117
353833634,73.3834289,54.9077121
353833640,73.3854129,54.9109529
353833641,73.3853442,54.9111106
353834494,73.3536683,54.9222297
353834502,73.3526204,54.9224849
353834521,73.3850307,54.9113383
353834526,73.3759651,54.9146752
353834533,73.3626973,54.9217095
353834536,73.361435,54.9222021
353834537,73.3580579,54.9229121
353834540,73.3565931,54.9230085
353835593,73.36912,54.9378641
353835596,73.3695085,54.9382952
353835597,73.3703846,54.9385939
353835637,73.3552237,54.9280804
353835690,73.3647979,54.9328242
353837267,73.3725754,54.9410767
353837274,73.3718553,54.9426021
353837292,73.3793919,54.9617788
353837303,73.3765196,54.97205
353854860,73.3820602,54.9409499
353855731,73.3826253,54.9422384
353856002,73.3794487,54.9546588
353860807,73.382256,54.9384966
353860812,73.3805257,54.9347488
353860828,73.3790582,54.9299025
353860835,73.3734608,54.9268196
353860837,73.3730843,54.9263754
353860855,73.3665258,54.9206865
353861991,73.3650277,54.9191964
353861993,73.3630033,54.9170456
392208789,73.3656112,54.9878513
410043187,73.3789698,54.9722673
410043344,73.4119528,54.9723196
410043788,73.3969718,54.9848872
410044640,73.4106087,54.9797558
410106506,73.3791285,54.9715078
410107720,73.3811027,54.9681332
410107725,73.3805497,54.9703159
410173926,73.2892036,55.0067665
410173953,73.2806076,55.0005506
410174023,73.2975681,55.0124192
410175418,73.2887739,55.0018597
410175425,73.2847673,55.0036655
410175643,73.3038871,55.0200998
410175659,73.3052525,55.0244548
410175750,73.3054437,55.0240969
410175994,73.3048405,55.0231322
410177783,73.331727,55.0126278
410177804,73.3369053,55.0291174
410178032,73.339135,55.0173273
410178881,73.3571363,55.0016221
410178898,73.3477327,55.0092581
410181340,73.3456849,55.0060653
410181725,73.362812,55.0290593
410181732,73.3627153,55.0245133
410183444,73.3808129,55.0088874
410186216,73.4548094,54.983934
410186242,73.4111935,54.9764208
410225518,73.2627193,54.971101
410228412,73.3861747,54.9871155
410229238,73.4152517,54.9892829
410229272,73.424148,54.9897712
410229274,73.4197806,54.9895838
410229566,73.4476131,54.994609
410229575,73.3876521,54.9872405
410230197,73.411513,54.9928622
410230202,73.4145587,54.9748598
410230218,73.3680204,54.9232158
410231055,73.4233352,54.9959485
410231056,73.4239732,54.9917427
410231057,73.4238303,54.9917352
410231058,73.4246686,54.986347
410231059,73.4250468,54.984201
410231060,73.4255202,54.9805981
410231061,73.4258772,54.9772741
410231062,73.4261194,54.9756474
410232531,73.4243726,54.9883034
410232537,73.3840695,54.986088
410234556,73.4413084,54.9084649
410234557,73.4439748,54.9084831
410234563,73.4565707,54.9084351
410234664,73.4428919,54.9084811
410234704,73.4863583,54.9253594
410235296,73.4887248,54.9167202
410235298,73.485246,54.9296173
410235416,73.4535516,54.9223168
410235554,73.4568648,54.9087723
410235725,73.4572246,54.9081604
410235868,73.4576531,54.9086285
410242452,73.4393045,54.9780904
410242453,73.4345827,54.9683109
410242469,73.4381838,54.9704972
410242470,73.4384904,54.9705411
410242472,73.4390684,54.9707518
410243200,73.470539,54.9813789
410243202,73.4686952,54.9815703
410243516,73.469436,54.9819579
410243701,73.4779494,54.9727538
410244578,73.4608225,54.9773578
410244733,73.469291,54.9727564
410244998,73.4641866,54.9791558
410245462,73.4763349,54.981357
410245464,73.4679779,54.976825
410245582,73.4779739,54.9761232
410246072,73.4451599,54.9656226
410246347,73.437101,54.9650586
410246348,73.4434122,54.9643687
410246690,73.4414109,54.9594523
410246697,73.4350639,54.9597911
410246736,73.4422296,54.9616674
410248097,73.4756341,54.9542933
410249541,73.4517937,54.9604056
410249670,73.445554,54.9625142
410249673,73.4442091,54.9590777
410250993,73.4150437,54.9575628
410256683,73.4891865,54.9572036
410257328,73.4511334,54.9506199
410257334,73.4505576,54.9503097
410257873,73.4516559,54.9502124
410258476,73.4523118,54.9579757
410260013,73.4594832,54.9556519
410260014,73.4567901,54.9560063
410260087,73.4563432,54.9548865
410260088,73.4573007,54.9572854
410260115,73.4520094,54.9569803
410260117,73.4569197,54.9563309
410260492,73.4581761,54.9547222
410260502,73.4591001,54.9570366
410262612,73.4353758,54.9677251
410262815,73.438717,54.9694335
410262818,73.4390369,54.9705415
410263344,73.4348191,54.9670824
410339050,73.4070802,54.9531603
410339051,73.4146641,54.9527069
410339678,73.404558,54.9536275
410343288,73.4222148,54.9449253
410343884,73.4421803,54.9379446
410344906,73.4291843,54.9326662
410345691,73.4377898,54.9321754
410345697,73.4372432,54.9323151
410345699,73.4369431,54.9322791
410347416,73.4832092,54.938204
410347452,73.4394136,54.9314698
410347454,73.4385008,54.9317855
410359511,73.3980311,54.978939
410359517,73.3880702,54.9782791
410359605,73.397941,54.979467
410363321,73.4386758,54.9812528
410363883,73.4388965,54.9852878
410364254,73.4431462,54.9975573
410364959,73.4533953,54.9994926
410365799,73.4633576,55.0040023
410366077,73.4644265,55.0061723
410366080,73.4631702,55.0046395
410366113,73.4521454,55.0013791
410366279,73.4396382,55.0044717
410366294,73.4457196,55.0004284
410366302,73.4478279,54.998497
410366584,73.4554653,55.0024341
410366589,73.4460758,54.9996412
410366727,73.4301854,54.999323
410367317,73.4339833,54.9810212
410367321,73.4336393,54.9845931
410367325,73.4326259,54.9871563
410367329,73.4315078,54.9921707
410367330,73.4318627,54.9775978
410367369,73.4321487,54.9760582
410368182,73.454561,54.9897468
410371908,73.3464715,55.0261986
410371915,73.3379855,55.0252565
410372139,73.3563555,55.0228363
410374849,73.3097156,55.0371573
410374855,73.293141,55.0418653
410375725,73.4023086,54.9561627
410375824,73.4083992,54.9591664
410375825,73.4138825,54.9593838
410375831,73.4137095,54.9608931
410375894,73.4086943,54.9576581
410375895,73.4088593,54.9568256
410375981,73.4118961,54.9643886
410375984,73.4103489,54.9641762
410376130,73.4097181,54.9607541
410376296,73.4724709,54.9240516
410376301,73.4750613,54.9310532
410376391,73.4723243,54.9306782
410376393,73.4720348,54.9297958
410376396,73.4700832,54.9248487
410376397,73.4704108,54.9238356
410376412,73.4480169,54.9237664
410376423,73.4654734,54.9254688
410376482,73.4566711,54.9262731
410376485,73.4571229,54.924767
410376572,73.465941,54.9234347
410376584,73.4659303,54.9267375
410376942,73.4677426,54.9291529
410376989,73.4776492,54.9324639
410377027,73.46407,54.929161
410377469,73.4779044,54.9269852
410377471,73.4735035,54.9269256
410377472,73.4709944,54.927217
410377474,73.4664019,54.927828
410377914,73.4772565,54.929138
410377915,73.4741921,54.9287385
410378170,73.4894034,54.9290284
410378171,73.4855065,54.9286675
410378172,73.4814767,54.9282944
410378174,73.4776761,54.9279593
410378383,73.4980107,54.9288613
410378385,73.4896935,54.9280645
410378386,73.4857636,54.927712
410378387,73.4816863,54.9273535
410378505,73.4898835,54.9270947
410378506,73.4860444,54.9267127
410378507,73.481904,54.9263548
410378508,73.4780173,54.9260374
410378510,73.473056,54.9257714
410379171,73.4949432,54.9266697
410379174,73.4900146,54.926301
410379176,73.4862314,54.9259494
410379181,73.4821417,54.9255599
410379705,73.4772427,54.9218172
410379709,73.47607,54.9258292
410379855,73.4753873,54.9215711
410379856,73.4747019,54.9242575
410379858,73.4743132,54.9256509
410380244,73.47894,54.9227464
410380245,73.4770659,54.9225755
410380246,73.4751971,54.9223975
410380248,73.4732042,54.9222062
